Orders.Sub-Category,Orders.Segment,Orders.Region,Orders.Ship Mode,Orders.Customer Name,Orders.Country,Orders.Category,Orders.State,Orders.City,CountNonNull(Orders.Postal Code),Sum(Orders.Discount)
Binders,Consumer,Central,Standard Class,Joseph Airdo,United States,Office Supplies,Michigan,Detroit,3,0
Fasteners,Consumer,Central,Standard Class,Joseph Airdo,United States,Office Supplies,Michigan,Detroit,,
Paper,Consumer,Central,Standard Class,Joseph Airdo,United States,Office Supplies,Michigan,Detroit,,
Appliances,Consumer,Central,Standard Class,Aimee Bixby,United States,Office Supplies,Oklahoma,Tulsa,,
Art,Consumer,Central,Standard Class,Aimee Bixby,United States,Office Supplies,Oklahoma,Tulsa,,
Binders,Consumer,Central,Standard Class,Aimee Bixby,United States,Office Supplies,Oklahoma,Tulsa,,
Fasteners,Consumer,Central,Standard Class,Aimee Bixby,United States,Office Supplies,Oklahoma,Tulsa,,
Paper,Consumer,Central,Standard Class,Aimee Bixby,United States,Office Supplies,Oklahoma,Tulsa,1,0
Appliances,Consumer,Central,Standard Class,Alejandro Grove,United States,Office Supplies,Nebraska,Omaha,1,0
Art,Consumer,Central,Standard Class,Alejandro Grove,United States,Office Supplies,Nebraska,Omaha,,
Binders,Consumer,Central,Standard Class,Alejandro Grove,United States,Office Supplies,Nebraska,Omaha,,
Fasteners,Consumer,Central,Standard Class,Alejandro Grove,United States,Office Supplies,Nebraska,Omaha,,
Paper,Consumer,Central,Standard Class,Alejandro Grove,United States,Office Supplies,Nebraska,Omaha,2,0
Appliances,Consumer,Central,Standard Class,Andrew Allen,United States,Office Supplies,Michigan,Detroit,,
Art,Consumer,Central,Standard Class,Andrew Allen,United States,Office Supplies,Michigan,Detroit,1,0
Binders,Consumer,Central,Standard Class,Andrew Allen,United States,Office Supplies,Michigan,Detroit,,
Fasteners,Consumer,Central,Standard Class,Andrew Allen,United States,Office Supplies,Michigan,Detroit,,
Paper,Consumer,Central,Standard Class,Andrew Allen,United States,Office Supplies,Michigan,Detroit,1,0
Appliances,Consumer,Central,Standard Class,Andrew Allen,United States,Office Supplies,Missouri,Springfield,,
Art,Consumer,Central,Standard Class,Andrew Allen,United States,Office Supplies,Missouri,Springfield,,
Binders,Consumer,Central,Standard Class,Andrew Allen,United States,Office Supplies,Missouri,Springfield,,
Fasteners,Consumer,Central,Standard Class,Andrew Allen,United States,Office Supplies,Missouri,Springfield,,
Paper,Consumer,Central,Standard Class,Andrew Allen,United States,Office Supplies,Missouri,Springfield,3,0
Appliances,Consumer,Central,Standard Class,Andrew Roberts,United States,Office Supplies,Oklahoma,Tulsa,,
Art,Consumer,Central,Standard Class,Andrew Roberts,United States,Office Supplies,Oklahoma,Tulsa,,
Binders,Consumer,Central,Standard Class,Andrew Roberts,United States,Office Supplies,Oklahoma,Tulsa,1,0
Fasteners,Consumer,Central,Standard Class,Andrew Roberts,United States,Office Supplies,Oklahoma,Tulsa,,
Paper,Consumer,Central,Standard Class,Andrew Roberts,United States,Office Supplies,Oklahoma,Tulsa,,
Appliances,Consumer,Central,Standard Class,Anna Andreadi,United States,Office Supplies,Oklahoma,Oklahoma City,,
Art,Consumer,Central,Standard Class,Anna Andreadi,United States,Office Supplies,Oklahoma,Oklahoma City,,
Binders,Consumer,Central,Standard Class,Anna Andreadi,United States,Office Supplies,Oklahoma,Oklahoma City,,
Fasteners,Consumer,Central,Standard Class,Anna Andreadi,United States,Office Supplies,Oklahoma,Oklahoma City,,
Paper,Consumer,Central,Standard Class,Anna Andreadi,United States,Office Supplies,Oklahoma,Oklahoma City,1,0
Appliances,Consumer,Central,Standard Class,Anna Chung,United States,Office Supplies,Indiana,Lawrence,,
Art,Consumer,Central,Standard Class,Anna Chung,United States,Office Supplies,Indiana,Lawrence,,
Binders,Consumer,Central,Standard Class,Anna Chung,United States,Office Supplies,Indiana,Lawrence,,
Fasteners,Consumer,Central,Standard Class,Anna Chung,United States,Office Supplies,Indiana,Lawrence,,
Paper,Consumer,Central,Standard Class,Anna Chung,United States,Office Supplies,Indiana,Lawrence,1,0
Appliances,Consumer,Central,Standard Class,Ashley Jarboe,United States,Office Supplies,Indiana,Lawrence,1,0
Art,Consumer,Central,Standard Class,Ashley Jarboe,United States,Office Supplies,Indiana,Lawrence,,
Binders,Consumer,Central,Standard Class,Ashley Jarboe,United States,Office Supplies,Indiana,Lawrence,,
Fasteners,Consumer,Central,Standard Class,Ashley Jarboe,United States,Office Supplies,Indiana,Lawrence,,
Paper,Consumer,Central,Standard Class,Ashley Jarboe,United States,Office Supplies,Indiana,Lawrence,,
Appliances,Consumer,Central,Standard Class,Ashley Jarboe,United States,Office Supplies,Michigan,Detroit,,
Art,Consumer,Central,Standard Class,Ashley Jarboe,United States,Office Supplies,Michigan,Detroit,,
Binders,Consumer,Central,Standard Class,Ashley Jarboe,United States,Office Supplies,Michigan,Detroit,1,0
Fasteners,Consumer,Central,Standard Class,Ashley Jarboe,United States,Office Supplies,Michigan,Detroit,,
Paper,Consumer,Central,Standard Class,Ashley Jarboe,United States,Office Supplies,Michigan,Detroit,,
Appliances,Consumer,Central,Standard Class,Benjamin Patterson,United States,Office Supplies,Oklahoma,Broken Arrow,,
Art,Consumer,Central,Standard Class,Benjamin Patterson,United States,Office Supplies,Oklahoma,Broken Arrow,,
Binders,Consumer,Central,Standard Class,Benjamin Patterson,United States,Office Supplies,Oklahoma,Broken Arrow,1,0
Fasteners,Consumer,Central,Standard Class,Benjamin Patterson,United States,Office Supplies,Oklahoma,Broken Arrow,,
Paper,Consumer,Central,Standard Class,Benjamin Patterson,United States,Office Supplies,Oklahoma,Broken Arrow,1,0
Appliances,Consumer,Central,Standard Class,Bill Donatelli,United States,Office Supplies,Michigan,Detroit,,
Art,Consumer,Central,Standard Class,Bill Donatelli,United States,Office Supplies,Michigan,Detroit,,
Binders,Consumer,Central,Standard Class,Bill Donatelli,United States,Office Supplies,Michigan,Detroit,1,0
Fasteners,Consumer,Central,Standard Class,Bill Donatelli,United States,Office Supplies,Michigan,Detroit,,
Paper,Consumer,Central,Standard Class,Bill Donatelli,United States,Office Supplies,Michigan,Detroit,,
Appliances,Consumer,Central,Standard Class,Bobby Trafton,United States,Office Supplies,Michigan,Detroit,,
Art,Consumer,Central,Standard Class,Bobby Trafton,United States,Office Supplies,Michigan,Detroit,,
Binders,Consumer,Central,Standard Class,Bobby Trafton,United States,Office Supplies,Michigan,Detroit,1,0
Fasteners,Consumer,Central,Standard Class,Bobby Trafton,United States,Office Supplies,Michigan,Detroit,,
Paper,Consumer,Central,Standard Class,Bobby Trafton,United States,Office Supplies,Michigan,Detroit,,
Appliances,Consumer,Central,Standard Class,Bradley Nguyen,United States,Office Supplies,Minnesota,Lakeville,1,0
Art,Consumer,Central,Standard Class,Bradley Nguyen,United States,Office Supplies,Minnesota,Lakeville,1,0
Binders,Consumer,Central,Standard Class,Bradley Nguyen,United States,Office Supplies,Minnesota,Lakeville,2,0
Fasteners,Consumer,Central,Standard Class,Bradley Nguyen,United States,Office Supplies,Minnesota,Lakeville,,
Paper,Consumer,Central,Standard Class,Bradley Nguyen,United States,Office Supplies,Minnesota,Lakeville,1,0
Appliances,Consumer,Central,Standard Class,Bruce Stewart,United States,Office Supplies,Michigan,Detroit,,
Art,Consumer,Central,Standard Class,Bruce Stewart,United States,Office Supplies,Michigan,Detroit,,
Binders,Consumer,Central,Standard Class,Bruce Stewart,United States,Office Supplies,Michigan,Detroit,,
Fasteners,Consumer,Central,Standard Class,Bruce Stewart,United States,Office Supplies,Michigan,Detroit,,
Paper,Consumer,Central,Standard Class,Bruce Stewart,United States,Office Supplies,Michigan,Detroit,2,0
Appliances,Consumer,Central,Standard Class,Carlos Daly,United States,Office Supplies,Kansas,Wichita,1,0
Art,Consumer,Central,Standard Class,Carlos Daly,United States,Office Supplies,Kansas,Wichita,,
Binders,Consumer,Central,Standard Class,Carlos Daly,United States,Office Supplies,Kansas,Wichita,,
Fasteners,Consumer,Central,Standard Class,Carlos Daly,United States,Office Supplies,Kansas,Wichita,,
Paper,Consumer,Central,Standard Class,Carlos Daly,United States,Office Supplies,Kansas,Wichita,,
Appliances,Consumer,Central,Standard Class,Christina VanderZanden,United States,Office Supplies,Michigan,Detroit,,
Art,Consumer,Central,Standard Class,Christina VanderZanden,United States,Office Supplies,Michigan,Detroit,,
Binders,Consumer,Central,Standard Class,Christina VanderZanden,United States,Office Supplies,Michigan,Detroit,2,0
Fasteners,Consumer,Central,Standard Class,Christina VanderZanden,United States,Office Supplies,Michigan,Detroit,,
Paper,Consumer,Central,Standard Class,Christina VanderZanden,United States,Office Supplies,Michigan,Detroit,,
Appliances,Consumer,Central,Standard Class,Clay Ludtke,United States,Office Supplies,Iowa,Urbandale,,
Art,Consumer,Central,Standard Class,Clay Ludtke,United States,Office Supplies,Iowa,Urbandale,1,0
Binders,Consumer,Central,Standard Class,Clay Ludtke,United States,Office Supplies,Iowa,Urbandale,1,0
Fasteners,Consumer,Central,Standard Class,Clay Ludtke,United States,Office Supplies,Iowa,Urbandale,,
Paper,Consumer,Central,Standard Class,Clay Ludtke,United States,Office Supplies,Iowa,Urbandale,,
Appliances,Consumer,Central,Standard Class,Corey-Lock,United States,Office Supplies,Oklahoma,Lawton,1,0
Art,Consumer,Central,Standard Class,Corey-Lock,United States,Office Supplies,Oklahoma,Lawton,1,0
Binders,Consumer,Central,Standard Class,Corey-Lock,United States,Office Supplies,Oklahoma,Lawton,,
Fasteners,Consumer,Central,Standard Class,Corey-Lock,United States,Office Supplies,Oklahoma,Lawton,,
Paper,Consumer,Central,Standard Class,Corey-Lock,United States,Office Supplies,Oklahoma,Lawton,,
Appliances,Consumer,Central,Standard Class,Daniel Lacy,United States,Office Supplies,Minnesota,Eagan,,
Art,Consumer,Central,Standard Class,Daniel Lacy,United States,Office Supplies,Minnesota,Eagan,,
Binders,Consumer,Central,Standard Class,Daniel Lacy,United States,Office Supplies,Minnesota,Eagan,,
Fasteners,Consumer,Central,Standard Class,Daniel Lacy,United States,Office Supplies,Minnesota,Eagan,,
Paper,Consumer,Central,Standard Class,Daniel Lacy,United States,Office Supplies,Minnesota,Eagan,1,0
Appliances,Consumer,Central,Standard Class,Daniel Lacy,United States,Office Supplies,Minnesota,Minneapolis,,
Art,Consumer,Central,Standard Class,Daniel Lacy,United States,Office Supplies,Minnesota,Minneapolis,,
Binders,Consumer,Central,Standard Class,Daniel Lacy,United States,Office Supplies,Minnesota,Minneapolis,1,0
Fasteners,Consumer,Central,Standard Class,Daniel Lacy,United States,Office Supplies,Minnesota,Minneapolis,,
Paper,Consumer,Central,Standard Class,Daniel Lacy,United States,Office Supplies,Minnesota,Minneapolis,,
Appliances,Consumer,Central,Standard Class,Dave Kipp,United States,Office Supplies,Nebraska,Fremont,,
Art,Consumer,Central,Standard Class,Dave Kipp,United States,Office Supplies,Nebraska,Fremont,,
Binders,Consumer,Central,Standard Class,Dave Kipp,United States,Office Supplies,Nebraska,Fremont,,
Fasteners,Consumer,Central,Standard Class,Dave Kipp,United States,Office Supplies,Nebraska,Fremont,,
Paper,Consumer,Central,Standard Class,Dave Kipp,United States,Office Supplies,Nebraska,Fremont,1,0
Appliances,Consumer,Central,Standard Class,Dennis Kane,United States,Office Supplies,Michigan,Westland,,
Art,Consumer,Central,Standard Class,Dennis Kane,United States,Office Supplies,Michigan,Westland,1,0
Binders,Consumer,Central,Standard Class,Dennis Kane,United States,Office Supplies,Michigan,Westland,,
Fasteners,Consumer,Central,Standard Class,Dennis Kane,United States,Office Supplies,Michigan,Westland,,
Paper,Consumer,Central,Standard Class,Dennis Kane,United States,Office Supplies,Michigan,Westland,1,0
Appliances,Consumer,Central,Standard Class,Giulietta Baptist,United States,Office Supplies,Kansas,Wichita,,
Art,Consumer,Central,Standard Class,Giulietta Baptist,United States,Office Supplies,Kansas,Wichita,,
Binders,Consumer,Central,Standard Class,Giulietta Baptist,United States,Office Supplies,Kansas,Wichita,,
Fasteners,Consumer,Central,Standard Class,Giulietta Baptist,United States,Office Supplies,Kansas,Wichita,,
Paper,Consumer,Central,Standard Class,Giulietta Baptist,United States,Office Supplies,Kansas,Wichita,1,0
Appliances,Consumer,Central,Standard Class,Herbert Flentye,United States,Office Supplies,Indiana,Indianapolis,,
Art,Consumer,Central,Standard Class,Herbert Flentye,United States,Office Supplies,Indiana,Indianapolis,,
Binders,Consumer,Central,Standard Class,Herbert Flentye,United States,Office Supplies,Indiana,Indianapolis,1,0
Fasteners,Consumer,Central,Standard Class,Herbert Flentye,United States,Office Supplies,Indiana,Indianapolis,,
Paper,Consumer,Central,Standard Class,Herbert Flentye,United States,Office Supplies,Indiana,Indianapolis,1,0
Appliances,Consumer,Central,Standard Class,Jason Fortune-,United States,Office Supplies,Michigan,Sterling Heights,,
Art,Consumer,Central,Standard Class,Jason Fortune-,United States,Office Supplies,Michigan,Sterling Heights,1,0
Binders,Consumer,Central,Standard Class,Jason Fortune-,United States,Office Supplies,Michigan,Sterling Heights,,
Fasteners,Consumer,Central,Standard Class,Jason Fortune-,United States,Office Supplies,Michigan,Sterling Heights,,
Paper,Consumer,Central,Standard Class,Jason Fortune-,United States,Office Supplies,Michigan,Sterling Heights,,
Appliances,Consumer,Central,Standard Class,Jeremy Lonsdale,United States,Office Supplies,Michigan,Midland,,
Art,Consumer,Central,Standard Class,Jeremy Lonsdale,United States,Office Supplies,Michigan,Midland,,
Binders,Consumer,Central,Standard Class,Jeremy Lonsdale,United States,Office Supplies,Michigan,Midland,2,0
Fasteners,Consumer,Central,Standard Class,Jeremy Lonsdale,United States,Office Supplies,Michigan,Midland,,
Paper,Consumer,Central,Standard Class,Jeremy Lonsdale,United States,Office Supplies,Michigan,Midland,,
Appliances,Consumer,Central,Standard Class,John Huston,United States,Office Supplies,Michigan,Midland,,
Art,Consumer,Central,Standard Class,John Huston,United States,Office Supplies,Michigan,Midland,,
Binders,Consumer,Central,Standard Class,John Huston,United States,Office Supplies,Michigan,Midland,1,0
Fasteners,Consumer,Central,Standard Class,John Huston,United States,Office Supplies,Michigan,Midland,,
Paper,Consumer,Central,Standard Class,John Huston,United States,Office Supplies,Michigan,Midland,,
Appliances,Consumer,Central,Standard Class,Joseph Holt,United States,Office Supplies,Michigan,Saginaw,,
Art,Consumer,Central,Standard Class,Joseph Holt,United States,Office Supplies,Michigan,Saginaw,,
Binders,Consumer,Central,Standard Class,Joseph Holt,United States,Office Supplies,Michigan,Saginaw,1,0
Fasteners,Consumer,Central,Standard Class,Joseph Holt,United States,Office Supplies,Michigan,Saginaw,1,0
Paper,Consumer,Central,Standard Class,Joseph Holt,United States,Office Supplies,Michigan,Saginaw,,
Appliances,Consumer,Central,Standard Class,Luke Weiss,United States,Office Supplies,Michigan,Grand Rapids,,
Art,Consumer,Central,Standard Class,Luke Weiss,United States,Office Supplies,Michigan,Grand Rapids,,
Binders,Consumer,Central,Standard Class,Luke Weiss,United States,Office Supplies,Michigan,Grand Rapids,1,0
Fasteners,Consumer,Central,Standard Class,Luke Weiss,United States,Office Supplies,Michigan,Grand Rapids,,
Paper,Consumer,Central,Standard Class,Luke Weiss,United States,Office Supplies,Michigan,Grand Rapids,,
Appliances,Consumer,Central,Standard Class,Maribeth Schnelling,United States,Office Supplies,Wisconsin,Wausau,1,0
Art,Consumer,Central,Standard Class,Maribeth Schnelling,United States,Office Supplies,Wisconsin,Wausau,,
Binders,Consumer,Central,Standard Class,Maribeth Schnelling,United States,Office Supplies,Wisconsin,Wausau,1,0
Fasteners,Consumer,Central,Standard Class,Maribeth Schnelling,United States,Office Supplies,Wisconsin,Wausau,,
Paper,Consumer,Central,Standard Class,Maribeth Schnelling,United States,Office Supplies,Wisconsin,Wausau,,
Appliances,Consumer,Central,Standard Class,Maris LaWare,United States,Office Supplies,Indiana,Columbus,1,0
Art,Consumer,Central,Standard Class,Maris LaWare,United States,Office Supplies,Indiana,Columbus,,
Binders,Consumer,Central,Standard Class,Maris LaWare,United States,Office Supplies,Indiana,Columbus,1,0
Fasteners,Consumer,Central,Standard Class,Maris LaWare,United States,Office Supplies,Indiana,Columbus,,
Paper,Consumer,Central,Standard Class,Maris LaWare,United States,Office Supplies,Indiana,Columbus,1,0
Appliances,Consumer,Central,Standard Class,Mark Hamilton,United States,Office Supplies,Minnesota,Minneapolis,1,0
Art,Consumer,Central,Standard Class,Mark Hamilton,United States,Office Supplies,Minnesota,Minneapolis,,
Binders,Consumer,Central,Standard Class,Mark Hamilton,United States,Office Supplies,Minnesota,Minneapolis,,
Fasteners,Consumer,Central,Standard Class,Mark Hamilton,United States,Office Supplies,Minnesota,Minneapolis,,
Paper,Consumer,Central,Standard Class,Mark Hamilton,United States,Office Supplies,Minnesota,Minneapolis,,
Appliances,Consumer,Central,Standard Class,Maurice Satty,United States,Office Supplies,Michigan,Detroit,,
Art,Consumer,Central,Standard Class,Maurice Satty,United States,Office Supplies,Michigan,Detroit,1,0
Binders,Consumer,Central,Standard Class,Maurice Satty,United States,Office Supplies,Michigan,Detroit,,
Fasteners,Consumer,Central,Standard Class,Maurice Satty,United States,Office Supplies,Michigan,Detroit,,
Paper,Consumer,Central,Standard Class,Maurice Satty,United States,Office Supplies,Michigan,Detroit,,
Appliances,Consumer,Central,Standard Class,Max Jones,United States,Office Supplies,Michigan,Detroit,,
Art,Consumer,Central,Standard Class,Max Jones,United States,Office Supplies,Michigan,Detroit,,
Binders,Consumer,Central,Standard Class,Max Jones,United States,Office Supplies,Michigan,Detroit,1,0
Fasteners,Consumer,Central,Standard Class,Max Jones,United States,Office Supplies,Michigan,Detroit,,
Paper,Consumer,Central,Standard Class,Max Jones,United States,Office Supplies,Michigan,Detroit,,
Appliances,Consumer,Central,Standard Class,Mike Vittorini,United States,Office Supplies,Michigan,Detroit,,
Art,Consumer,Central,Standard Class,Mike Vittorini,United States,Office Supplies,Michigan,Detroit,,
Binders,Consumer,Central,Standard Class,Mike Vittorini,United States,Office Supplies,Michigan,Detroit,,
Fasteners,Consumer,Central,Standard Class,Mike Vittorini,United States,Office Supplies,Michigan,Detroit,,
Paper,Consumer,Central,Standard Class,Mike Vittorini,United States,Office Supplies,Michigan,Detroit,1,0
Appliances,Consumer,Central,Standard Class,Natalie Webber,United States,Office Supplies,Iowa,Waterloo,,
Art,Consumer,Central,Standard Class,Natalie Webber,United States,Office Supplies,Iowa,Waterloo,1,0
Binders,Consumer,Central,Standard Class,Natalie Webber,United States,Office Supplies,Iowa,Waterloo,,
Fasteners,Consumer,Central,Standard Class,Natalie Webber,United States,Office Supplies,Iowa,Waterloo,,
Paper,Consumer,Central,Standard Class,Natalie Webber,United States,Office Supplies,Iowa,Waterloo,,
Appliances,Consumer,Central,Standard Class,Nathan Cano,United States,Office Supplies,Michigan,Royal Oak,,
Art,Consumer,Central,Standard Class,Nathan Cano,United States,Office Supplies,Michigan,Royal Oak,,
Binders,Consumer,Central,Standard Class,Nathan Cano,United States,Office Supplies,Michigan,Royal Oak,,
Fasteners,Consumer,Central,Standard Class,Nathan Cano,United States,Office Supplies,Michigan,Royal Oak,,
Paper,Consumer,Central,Standard Class,Nathan Cano,United States,Office Supplies,Michigan,Royal Oak,1,0
Appliances,Consumer,Central,Standard Class,Patrick O'Brill,United States,Office Supplies,Iowa,Burlington,,
Art,Consumer,Central,Standard Class,Patrick O'Brill,United States,Office Supplies,Iowa,Burlington,,
Binders,Consumer,Central,Standard Class,Patrick O'Brill,United States,Office Supplies,Iowa,Burlington,,
Fasteners,Consumer,Central,Standard Class,Patrick O'Brill,United States,Office Supplies,Iowa,Burlington,,
Paper,Consumer,Central,Standard Class,Patrick O'Brill,United States,Office Supplies,Iowa,Burlington,1,0
Appliances,Consumer,Central,Standard Class,Patrick O'Donnell,United States,Office Supplies,Indiana,Indianapolis,,
Art,Consumer,Central,Standard Class,Patrick O'Donnell,United States,Office Supplies,Indiana,Indianapolis,,
Binders,Consumer,Central,Standard Class,Patrick O'Donnell,United States,Office Supplies,Indiana,Indianapolis,1,0
Fasteners,Consumer,Central,Standard Class,Patrick O'Donnell,United States,Office Supplies,Indiana,Indianapolis,,
Paper,Consumer,Central,Standard Class,Patrick O'Donnell,United States,Office Supplies,Indiana,Indianapolis,,
Appliances,Consumer,Central,Standard Class,Paul MacIntyre,United States,Office Supplies,Michigan,Jackson,,
Art,Consumer,Central,Standard Class,Paul MacIntyre,United States,Office Supplies,Michigan,Jackson,,
Binders,Consumer,Central,Standard Class,Paul MacIntyre,United States,Office Supplies,Michigan,Jackson,1,0
Fasteners,Consumer,Central,Standard Class,Paul MacIntyre,United States,Office Supplies,Michigan,Jackson,,
Paper,Consumer,Central,Standard Class,Paul MacIntyre,United States,Office Supplies,Michigan,Jackson,,
Appliances,Consumer,Central,Standard Class,Rick Duston,United States,Office Supplies,Indiana,Mishawaka,,
Art,Consumer,Central,Standard Class,Rick Duston,United States,Office Supplies,Indiana,Mishawaka,,
Binders,Consumer,Central,Standard Class,Rick Duston,United States,Office Supplies,Indiana,Mishawaka,1,0
Fasteners,Consumer,Central,Standard Class,Rick Duston,United States,Office Supplies,Indiana,Mishawaka,,
Paper,Consumer,Central,Standard Class,Rick Duston,United States,Office Supplies,Indiana,Mishawaka,,
Appliances,Consumer,Central,Standard Class,Rick Hansen,United States,Office Supplies,Minnesota,Rochester,,
Art,Consumer,Central,Standard Class,Rick Hansen,United States,Office Supplies,Minnesota,Rochester,,
Binders,Consumer,Central,Standard Class,Rick Hansen,United States,Office Supplies,Minnesota,Rochester,1,0
Fasteners,Consumer,Central,Standard Class,Rick Hansen,United States,Office Supplies,Minnesota,Rochester,,
Paper,Consumer,Central,Standard Class,Rick Hansen,United States,Office Supplies,Minnesota,Rochester,,
Appliances,Consumer,Central,Standard Class,Rob Dowd,United States,Office Supplies,Michigan,Detroit,,
Art,Consumer,Central,Standard Class,Rob Dowd,United States,Office Supplies,Michigan,Detroit,,
Binders,Consumer,Central,Standard Class,Rob Dowd,United States,Office Supplies,Michigan,Detroit,1,0
Fasteners,Consumer,Central,Standard Class,Rob Dowd,United States,Office Supplies,Michigan,Detroit,,
Paper,Consumer,Central,Standard Class,Rob Dowd,United States,Office Supplies,Michigan,Detroit,,
Appliances,Consumer,Central,Standard Class,Robert Waldorf,United States,Office Supplies,Indiana,Lafayette,,
Art,Consumer,Central,Standard Class,Robert Waldorf,United States,Office Supplies,Indiana,Lafayette,,
Binders,Consumer,Central,Standard Class,Robert Waldorf,United States,Office Supplies,Indiana,Lafayette,,
Fasteners,Consumer,Central,Standard Class,Robert Waldorf,United States,Office Supplies,Indiana,Lafayette,,
Paper,Consumer,Central,Standard Class,Robert Waldorf,United States,Office Supplies,Indiana,Lafayette,2,0
Appliances,Consumer,Central,Standard Class,Roland Fjeld,United States,Office Supplies,Michigan,Trenton,,
Art,Consumer,Central,Standard Class,Roland Fjeld,United States,Office Supplies,Michigan,Trenton,1,0
Binders,Consumer,Central,Standard Class,Roland Fjeld,United States,Office Supplies,Michigan,Trenton,2,0
Fasteners,Consumer,Central,Standard Class,Roland Fjeld,United States,Office Supplies,Michigan,Trenton,,
Paper,Consumer,Central,Standard Class,Roland Fjeld,United States,Office Supplies,Michigan,Trenton,,
Appliances,Consumer,Central,Standard Class,Roland Fjeld,United States,Office Supplies,Oklahoma,Oklahoma City,1,0
Art,Consumer,Central,Standard Class,Roland Fjeld,United States,Office Supplies,Oklahoma,Oklahoma City,,
Binders,Consumer,Central,Standard Class,Roland Fjeld,United States,Office Supplies,Oklahoma,Oklahoma City,1,0
Fasteners,Consumer,Central,Standard Class,Roland Fjeld,United States,Office Supplies,Oklahoma,Oklahoma City,,
Paper,Consumer,Central,Standard Class,Roland Fjeld,United States,Office Supplies,Oklahoma,Oklahoma City,,
Appliances,Consumer,Central,Standard Class,Ryan Crowe,United States,Office Supplies,Michigan,Grand Rapids,,
Art,Consumer,Central,Standard Class,Ryan Crowe,United States,Office Supplies,Michigan,Grand Rapids,,
Binders,Consumer,Central,Standard Class,Ryan Crowe,United States,Office Supplies,Michigan,Grand Rapids,,
Fasteners,Consumer,Central,Standard Class,Ryan Crowe,United States,Office Supplies,Michigan,Grand Rapids,,
Paper,Consumer,Central,Standard Class,Ryan Crowe,United States,Office Supplies,Michigan,Grand Rapids,1,0
Appliances,Consumer,Central,Standard Class,Sandra Glassco,United States,Office Supplies,Missouri,Independence,1,0
Art,Consumer,Central,Standard Class,Sandra Glassco,United States,Office Supplies,Missouri,Independence,,
Binders,Consumer,Central,Standard Class,Sandra Glassco,United States,Office Supplies,Missouri,Independence,,
Fasteners,Consumer,Central,Standard Class,Sandra Glassco,United States,Office Supplies,Missouri,Independence,,
Paper,Consumer,Central,Standard Class,Sandra Glassco,United States,Office Supplies,Missouri,Independence,,
Appliances,Consumer,Central,Standard Class,Sanjit Chand,United States,Office Supplies,Minnesota,Minneapolis,,
Art,Consumer,Central,Standard Class,Sanjit Chand,United States,Office Supplies,Minnesota,Minneapolis,,
Binders,Consumer,Central,Standard Class,Sanjit Chand,United States,Office Supplies,Minnesota,Minneapolis,2,0
Fasteners,Consumer,Central,Standard Class,Sanjit Chand,United States,Office Supplies,Minnesota,Minneapolis,,
Paper,Consumer,Central,Standard Class,Sanjit Chand,United States,Office Supplies,Minnesota,Minneapolis,1,0
Appliances,Consumer,Central,Standard Class,Sarah Foster,United States,Office Supplies,Indiana,New Castle,1,0
Art,Consumer,Central,Standard Class,Sarah Foster,United States,Office Supplies,Indiana,New Castle,,
Binders,Consumer,Central,Standard Class,Sarah Foster,United States,Office Supplies,Indiana,New Castle,,
Fasteners,Consumer,Central,Standard Class,Sarah Foster,United States,Office Supplies,Indiana,New Castle,,
Paper,Consumer,Central,Standard Class,Sarah Foster,United States,Office Supplies,Indiana,New Castle,,
Appliances,Consumer,Central,Standard Class,Sarah Foster,United States,Office Supplies,Indiana,Richmond,1,0
Art,Consumer,Central,Standard Class,Sarah Foster,United States,Office Supplies,Indiana,Richmond,,
Binders,Consumer,Central,Standard Class,Sarah Foster,United States,Office Supplies,Indiana,Richmond,,
Fasteners,Consumer,Central,Standard Class,Sarah Foster,United States,Office Supplies,Indiana,Richmond,,
Paper,Consumer,Central,Standard Class,Sarah Foster,United States,Office Supplies,Indiana,Richmond,,
Appliances,Consumer,Central,Standard Class,Scott Williamson,United States,Office Supplies,Michigan,Royal Oak,,
Art,Consumer,Central,Standard Class,Scott Williamson,United States,Office Supplies,Michigan,Royal Oak,,
Binders,Consumer,Central,Standard Class,Scott Williamson,United States,Office Supplies,Michigan,Royal Oak,,
Fasteners,Consumer,Central,Standard Class,Scott Williamson,United States,Office Supplies,Michigan,Royal Oak,,
Paper,Consumer,Central,Standard Class,Scott Williamson,United States,Office Supplies,Michigan,Royal Oak,1,0
Appliances,Consumer,Central,Standard Class,Sonia Sunley,United States,Office Supplies,Nebraska,Norfolk,,
Art,Consumer,Central,Standard Class,Sonia Sunley,United States,Office Supplies,Nebraska,Norfolk,,
Binders,Consumer,Central,Standard Class,Sonia Sunley,United States,Office Supplies,Nebraska,Norfolk,1,0
Fasteners,Consumer,Central,Standard Class,Sonia Sunley,United States,Office Supplies,Nebraska,Norfolk,,
Paper,Consumer,Central,Standard Class,Sonia Sunley,United States,Office Supplies,Nebraska,Norfolk,,
Appliances,Consumer,Central,Standard Class,Stewart Visinsky,United States,Office Supplies,Indiana,Bloomington,,
Art,Consumer,Central,Standard Class,Stewart Visinsky,United States,Office Supplies,Indiana,Bloomington,,
Binders,Consumer,Central,Standard Class,Stewart Visinsky,United States,Office Supplies,Indiana,Bloomington,,
Fasteners,Consumer,Central,Standard Class,Stewart Visinsky,United States,Office Supplies,Indiana,Bloomington,,
Paper,Consumer,Central,Standard Class,Stewart Visinsky,United States,Office Supplies,Indiana,Bloomington,1,0
