Orders.Region,Orders.Category,Orders.Ship Mode,Orders.Ship Date.Variation.Date Hierarchy.Year,Orders.Ship Date.Variation.Date Hierarchy.Quarter,CountNonNull(Orders.Postal Code),Min(Orders.Customer Name)
West,Office Supplies,Second Class,2015,Qtr 4,37,Arianne Irving
Central,Office Supplies,Second Class,2016,Qtr 1,3,Aimee Bixby
East,Office Supplies,Second Class,2016,Qtr 1,16,Bruce Degenhardt
South,Office Supplies,Second Class,2016,Qtr 1,9,Anthony Johnson
West,Office Supplies,Second Class,2016,Qtr 1,15,Chris Cortes
Central,Office Supplies,Second Class,2016,Qtr 2,14,Arthur Wiediger
East,Office Supplies,Second Class,2016,Qtr 2,20,Becky Castell
South,Office Supplies,Second Class,2016,Qtr 2,8,Cathy Prescott
West,Office Supplies,Second Class,2016,Qtr 2,18,Bill Donatelli
Central,Office Supplies,Second Class,2016,Qtr 3,23,Alex Grayson
East,Office Supplies,Second Class,2016,Qtr 3,26,Clay Rozendal
South,Office Supplies,Second Class,2016,Qtr 3,19,Catherine Glotzbach
West,Office Supplies,Second Class,2016,Qtr 3,25,Annie Thurman
Central,Office Supplies,Second Class,2016,Qtr 4,26,Charles Sheldon
East,Office Supplies,Second Class,2016,Qtr 4,19,Art Foster
South,Office Supplies,Second Class,2016,Qtr 4,24,Alan Haines
West,Office Supplies,Second Class,2016,Qtr 4,25,Arianne Irving
Central,Office Supplies,Second Class,2017,Qtr 1,22,Andy Reiter
East,Office Supplies,Second Class,2017,Qtr 1,13,Brian Moss
South,Office Supplies,Second Class,2017,Qtr 1,7,Carol Adams
West,Office Supplies,Second Class,2017,Qtr 1,23,Bart Pistole
Central,Office Supplies,Second Class,2017,Qtr 2,22,Adam Shillingsburg
East,Office Supplies,Second Class,2017,Qtr 2,12,Alan Shonely
South,Office Supplies,Second Class,2017,Qtr 2,8,Adam Hart
West,Office Supplies,Second Class,2017,Qtr 2,22,Becky Castell
Central,Office Supplies,Second Class,2017,Qtr 3,21,Charles McCrossin
East,Office Supplies,Second Class,2017,Qtr 3,34,Carl Ludwig
South,Office Supplies,Second Class,2017,Qtr 3,15,Anna Gayman
West,Office Supplies,Second Class,2017,Qtr 3,45,Alan Schoenberger
Central,Office Supplies,Second Class,2017,Qtr 4,30,Aimee Bixby
East,Office Supplies,Second Class,2017,Qtr 4,41,Anthony Rawles
South,Office Supplies,Second Class,2017,Qtr 4,40,Brenda Bowman
West,Office Supplies,Second Class,2017,Qtr 4,42,Alan Schoenberger
Central,Office Supplies,Second Class,2018,Qtr 1,,
East,Office Supplies,Second Class,2018,Qtr 1,,
South,Office Supplies,Second Class,2018,Qtr 1,2,Katherine Hughes
West,Office Supplies,Second Class,2018,Qtr 1,1,Kristen Hastings
Central,Office Supplies,Standard Class,2014,Qtr 1,33,Aaron Bergman
East,Office Supplies,Standard Class,2014,Qtr 1,16,Anne Pryor
South,Office Supplies,Standard Class,2014,Qtr 1,36,Alan Shonely
West,Office Supplies,Standard Class,2014,Qtr 1,31,Barry Französisch
Central,Office Supplies,Standard Class,2014,Qtr 2,30,Christina VanderZanden
East,Office Supplies,Standard Class,2014,Qtr 2,44,Andrew Roberts
South,Office Supplies,Standard Class,2014,Qtr 2,17,Dorothy Badders
West,Office Supplies,Standard Class,2014,Qtr 2,42,Aaron Hawkins
Central,Office Supplies,Standard Class,2014,Qtr 3,49,Arthur Wiediger
East,Office Supplies,Standard Class,2014,Qtr 3,60,Aaron Smayling
South,Office Supplies,Standard Class,2014,Qtr 3,31,Andy Gerbode
West,Office Supplies,Standard Class,2014,Qtr 3,74,Alejandro Ballentine
Central,Office Supplies,Standard Class,2014,Qtr 4,80,Ann Blume
East,Office Supplies,Standard Class,2014,Qtr 4,69,Alyssa Tate
South,Office Supplies,Standard Class,2014,Qtr 4,46,Annie Thurman
West,Office Supplies,Standard Class,2014,Qtr 4,84,Adam Hart
Central,Office Supplies,Standard Class,2015,Qtr 1,20,Candace McMahon
East,Office Supplies,Standard Class,2015,Qtr 1,31,Anthony Jacobs
South,Office Supplies,Standard Class,2015,Qtr 1,23,Amy Hunt
West,Office Supplies,Standard Class,2015,Qtr 1,29,Ann Blume
Central,Office Supplies,Standard Class,2015,Qtr 2,43,Anna Gayman
East,Office Supplies,Standard Class,2015,Qtr 2,54,Brad Norvell
South,Office Supplies,Standard Class,2015,Qtr 2,36,Andrew Gjertsen
West,Office Supplies,Standard Class,2015,Qtr 2,48,Alan Barnes
Central,Office Supplies,Standard Class,2015,Qtr 3,35,Aimee Bixby
East,Office Supplies,Standard Class,2015,Qtr 3,86,Alan Dominguez
South,Office Supplies,Standard Class,2015,Qtr 3,42,Andy Gerbode
West,Office Supplies,Standard Class,2015,Qtr 3,57,Adam Bellavance
Central,Office Supplies,Standard Class,2015,Qtr 4,68,Adam Shillingsburg
East,Office Supplies,Standard Class,2015,Qtr 4,57,Alejandro Ballentine
South,Office Supplies,Standard Class,2015,Qtr 4,54,Allen Armold
West,Office Supplies,Standard Class,2015,Qtr 4,95,Aaron Hawkins
Central,Office Supplies,Standard Class,2016,Qtr 1,35,Alex Avila
East,Office Supplies,Standard Class,2016,Qtr 1,31,Adrian Barton
South,Office Supplies,Standard Class,2016,Qtr 1,20,Adam Bellavance
West,Office Supplies,Standard Class,2016,Qtr 1,23,Annie Zypern
Central,Office Supplies,Standard Class,2016,Qtr 2,47,Adam Shillingsburg
East,Office Supplies,Standard Class,2016,Qtr 2,85,Adam Shillingsburg
South,Office Supplies,Standard Class,2016,Qtr 2,36,Anna Häberlin
West,Office Supplies,Standard Class,2016,Qtr 2,59,Alan Shonely
Central,Office Supplies,Standard Class,2016,Qtr 3,86,Adam Shillingsburg
East,Office Supplies,Standard Class,2016,Qtr 3,61,Adam Bellavance
South,Office Supplies,Standard Class,2016,Qtr 3,47,Amy Cox
West,Office Supplies,Standard Class,2016,Qtr 3,82,Allen Armold
Central,Office Supplies,Standard Class,2016,Qtr 4,78,Adam Hart
East,Office Supplies,Standard Class,2016,Qtr 4,96,Anthony Johnson
South,Office Supplies,Standard Class,2016,Qtr 4,33,Alejandro Ballentine
West,Office Supplies,Standard Class,2016,Qtr 4,119,Alejandro Ballentine
Central,Office Supplies,Standard Class,2017,Qtr 1,51,Anna Chung
East,Office Supplies,Standard Class,2017,Qtr 1,41,Beth Paige
South,Office Supplies,Standard Class,2017,Qtr 1,23,Ann Steele
West,Office Supplies,Standard Class,2017,Qtr 1,75,Alan Dominguez
Central,Office Supplies,Standard Class,2017,Qtr 2,65,Art Ferguson
East,Office Supplies,Standard Class,2017,Qtr 2,68,Alejandro Ballentine
South,Office Supplies,Standard Class,2017,Qtr 2,49,Amy Hunt
West,Office Supplies,Standard Class,2017,Qtr 2,66,Adrian Hane
Central,Office Supplies,Standard Class,2017,Qtr 3,81,Aaron Smayling
East,Office Supplies,Standard Class,2017,Qtr 3,81,Adam Bellavance
South,Office Supplies,Standard Class,2017,Qtr 3,48,Adrian Hane
West,Office Supplies,Standard Class,2017,Qtr 3,102,Adrian Barton
Central,Office Supplies,Standard Class,2017,Qtr 4,89,Adrian Hane
East,Office Supplies,Standard Class,2017,Qtr 4,127,Aaron Hawkins
South,Office Supplies,Standard Class,2017,Qtr 4,59,Adam Hart
West,Office Supplies,Standard Class,2017,Qtr 4,131,Alan Barnes
Central,Office Supplies,Standard Class,2018,Qtr 1,13,Christopher Schild
East,Office Supplies,Standard Class,2018,Qtr 1,4,Jennifer Ferguson
South,Office Supplies,Standard Class,2018,Qtr 1,1,Erica Hernandez
West,Office Supplies,Standard Class,2018,Qtr 1,6,Bruce Stewart
Central,Technology,First Class,2014,Qtr 1,2,Bradley Drucker
East,Technology,First Class,2014,Qtr 1,,
South,Technology,First Class,2014,Qtr 1,5,Erica Hackney
West,Technology,First Class,2014,Qtr 1,,
Central,Technology,First Class,2014,Qtr 2,1,Mark Packer
East,Technology,First Class,2014,Qtr 2,4,Kean Thornton
South,Technology,First Class,2014,Qtr 2,,
West,Technology,First Class,2014,Qtr 2,2,Arianne Irving
Central,Technology,First Class,2014,Qtr 3,4,Michael Nguyen
East,Technology,First Class,2014,Qtr 3,7,Alejandro Grove
South,Technology,First Class,2014,Qtr 3,5,Corey Catlett
West,Technology,First Class,2014,Qtr 3,1,Jonathan Doherty
Central,Technology,First Class,2014,Qtr 4,2,Mick Crebagga
East,Technology,First Class,2014,Qtr 4,4,Anna Andreadi
South,Technology,First Class,2014,Qtr 4,1,Michelle Arnett
West,Technology,First Class,2014,Qtr 4,16,Bart Pistole
Central,Technology,First Class,2015,Qtr 1,4,Allen Armold
East,Technology,First Class,2015,Qtr 1,5,Aaron Hawkins
South,Technology,First Class,2015,Qtr 1,,
West,Technology,First Class,2015,Qtr 1,3,Alice McCarthy
Central,Technology,First Class,2015,Qtr 2,1,Muhammed MacIntyre
East,Technology,First Class,2015,Qtr 2,3,Edward Nazzal
South,Technology,First Class,2015,Qtr 2,4,Amy Cox
West,Technology,First Class,2015,Qtr 2,2,Justin MacKendrick
Central,Technology,First Class,2015,Qtr 3,3,Steve Carroll
East,Technology,First Class,2015,Qtr 3,8,Dan Reichenbach
South,Technology,First Class,2015,Qtr 3,1,Frank Atkinson
West,Technology,First Class,2015,Qtr 3,4,Helen Andreada
Central,Technology,First Class,2015,Qtr 4,6,Anthony Witt
East,Technology,First Class,2015,Qtr 4,10,Alan Hwang
South,Technology,First Class,2015,Qtr 4,2,Brosina Hoffman
West,Technology,First Class,2015,Qtr 4,9,Chloris Kastensmidt
Central,Technology,First Class,2016,Qtr 1,2,Odella Nelson
East,Technology,First Class,2016,Qtr 1,,
South,Technology,First Class,2016,Qtr 1,1,Dean Braden
West,Technology,First Class,2016,Qtr 1,5,Karen Ferguson
Central,Technology,First Class,2016,Qtr 2,1,Nona Balk
East,Technology,First Class,2016,Qtr 2,6,Brooke Gillingham
South,Technology,First Class,2016,Qtr 2,6,Clytie Kelty
West,Technology,First Class,2016,Qtr 2,4,Logan Haushalter
Central,Technology,First Class,2016,Qtr 3,5,Dianna Wilson
East,Technology,First Class,2016,Qtr 3,5,Adam Bellavance
South,Technology,First Class,2016,Qtr 3,1,Helen Andreada
West,Technology,First Class,2016,Qtr 3,4,Erin Smith
Central,Technology,First Class,2016,Qtr 4,5,Aaron Bergman
East,Technology,First Class,2016,Qtr 4,7,Becky Martin
South,Technology,First Class,2016,Qtr 4,4,Emily Phan
West,Technology,First Class,2016,Qtr 4,13,Adrian Hane
Central,Technology,First Class,2017,Qtr 1,5,Bart Watters
East,Technology,First Class,2017,Qtr 1,4,Christine Kargatis
South,Technology,First Class,2017,Qtr 1,2,Aaron Smayling
West,Technology,First Class,2017,Qtr 1,10,Christina VanderZanden
Central,Technology,First Class,2017,Qtr 2,5,Adrian Barton
East,Technology,First Class,2017,Qtr 2,6,Anthony Jacobs
South,Technology,First Class,2017,Qtr 2,4,Edward Becker
West,Technology,First Class,2017,Qtr 2,9,Adrian Barton
Central,Technology,First Class,2017,Qtr 3,7,Annie Thurman
East,Technology,First Class,2017,Qtr 3,10,Adam Shillingsburg
South,Technology,First Class,2017,Qtr 3,3,Frank Carlisle
West,Technology,First Class,2017,Qtr 3,7,Justin MacKendrick
Central,Technology,First Class,2017,Qtr 4,8,Alejandro Savely
East,Technology,First Class,2017,Qtr 4,12,Carlos Daly
South,Technology,First Class,2017,Qtr 4,3,Brian Derr
West,Technology,First Class,2017,Qtr 4,18,Ann Blume
Central,Technology,Same Day,2014,Qtr 2,,
East,Technology,Same Day,2014,Qtr 2,1,James Galang
South,Technology,Same Day,2014,Qtr 2,1,Valerie Mitchum
West,Technology,Same Day,2014,Qtr 2,,
Central,Technology,Same Day,2014,Qtr 3,,
East,Technology,Same Day,2014,Qtr 3,3,Darrin Martin
South,Technology,Same Day,2014,Qtr 3,,
West,Technology,Same Day,2014,Qtr 3,3,Resi Pölking
Central,Technology,Same Day,2014,Qtr 4,,
East,Technology,Same Day,2014,Qtr 4,4,Denny Ordway
South,Technology,Same Day,2014,Qtr 4,1,Jack Garza
West,Technology,Same Day,2014,Qtr 4,3,James Lanier
Central,Technology,Same Day,2015,Qtr 1,,
East,Technology,Same Day,2015,Qtr 1,,
South,Technology,Same Day,2015,Qtr 1,1,Debra Catini
West,Technology,Same Day,2015,Qtr 1,,
Central,Technology,Same Day,2015,Qtr 2,2,Nat Carroll
East,Technology,Same Day,2015,Qtr 2,,
South,Technology,Same Day,2015,Qtr 2,1,Tracy Hopkins
West,Technology,Same Day,2015,Qtr 2,1,Jennifer Ferguson
Central,Technology,Same Day,2015,Qtr 3,,
East,Technology,Same Day,2015,Qtr 3,1,Rick Hansen
South,Technology,Same Day,2015,Qtr 3,,
West,Technology,Same Day,2015,Qtr 3,,
Central,Technology,Same Day,2015,Qtr 4,2,Joel Eaton
East,Technology,Same Day,2015,Qtr 4,6,Barry Französisch
South,Technology,Same Day,2015,Qtr 4,2,Ralph Arnett
West,Technology,Same Day,2015,Qtr 4,2,Kelly Collister
Central,Technology,Same Day,2016,Qtr 1,1,Toby Braunhardt
East,Technology,Same Day,2016,Qtr 1,1,Vivian Mathis
South,Technology,Same Day,2016,Qtr 1,3,Christina Anderson
West,Technology,Same Day,2016,Qtr 1,,
Central,Technology,Same Day,2016,Qtr 2,3,Annie Thurman
East,Technology,Same Day,2016,Qtr 2,2,Clay Ludtke
South,Technology,Same Day,2016,Qtr 2,1,Joe Kamberova
West,Technology,Same Day,2016,Qtr 2,1,Tiffany House
Central,Technology,Same Day,2016,Qtr 3,,
East,Technology,Same Day,2016,Qtr 3,2,Erin Ashbrook
South,Technology,Same Day,2016,Qtr 3,3,Hunter Glantz
West,Technology,Same Day,2016,Qtr 3,5,Ionia McGrath
Central,Technology,Same Day,2016,Qtr 4,1,Hunter Glantz
East,Technology,Same Day,2016,Qtr 4,1,Jim Mitchum
South,Technology,Same Day,2016,Qtr 4,2,Dean Braden
West,Technology,Same Day,2016,Qtr 4,2,Sonia Sunley
Central,Technology,Same Day,2017,Qtr 1,3,Stephanie Ulpright
East,Technology,Same Day,2017,Qtr 1,2,Susan Pistek
South,Technology,Same Day,2017,Qtr 1,1,Claudia Bergmann
West,Technology,Same Day,2017,Qtr 1,1,Tom Boeckenhauer
Central,Technology,Same Day,2017,Qtr 2,1,Russell D'Ascenzo
East,Technology,Same Day,2017,Qtr 2,1,Trudy Brown
South,Technology,Same Day,2017,Qtr 2,1,Mick Brown
West,Technology,Same Day,2017,Qtr 2,1,Pauline Johnson
Central,Technology,Same Day,2017,Qtr 3,2,Katrina Willman
East,Technology,Same Day,2017,Qtr 3,4,Bart Pistole
South,Technology,Same Day,2017,Qtr 3,,
West,Technology,Same Day,2017,Qtr 3,7,Harold Ryan
Central,Technology,Same Day,2017,Qtr 4,3,Dave Brooks
East,Technology,Same Day,2017,Qtr 4,3,Charlotte Melton
South,Technology,Same Day,2017,Qtr 4,1,Grant Thornton
West,Technology,Same Day,2017,Qtr 4,5,Eugene Moren
Central,Technology,Second Class,2014,Qtr 1,,
East,Technology,Second Class,2014,Qtr 1,2,Aimee Bixby
South,Technology,Second Class,2014,Qtr 1,4,Chris Selesnick
West,Technology,Second Class,2014,Qtr 1,2,Damala Kotsonis
Central,Technology,Second Class,2014,Qtr 2,4,Carl Weiss
East,Technology,Second Class,2014,Qtr 2,1,Jonathan Doherty
South,Technology,Second Class,2014,Qtr 2,6,Cari Schnelling
West,Technology,Second Class,2014,Qtr 2,4,Frank Hawley
Central,Technology,Second Class,2014,Qtr 3,5,Christina VanderZanden
East,Technology,Second Class,2014,Qtr 3,2,Logan Currie
South,Technology,Second Class,2014,Qtr 3,1,Roland Fjeld
West,Technology,Second Class,2014,Qtr 3,5,Giulietta Weimer
Central,Technology,Second Class,2014,Qtr 4,5,David Kendrick
East,Technology,Second Class,2014,Qtr 4,3,Joe Kamberova
South,Technology,Second Class,2014,Qtr 4,5,Alan Schoenberger
West,Technology,Second Class,2014,Qtr 4,9,Amy Cox
Central,Technology,Second Class,2015,Qtr 1,6,Amy Hunt
East,Technology,Second Class,2015,Qtr 1,5,Alex Russell
South,Technology,Second Class,2015,Qtr 1,,
West,Technology,Second Class,2015,Qtr 1,4,Dave Hallsten
Central,Technology,Second Class,2015,Qtr 2,6,Ben Ferrer
East,Technology,Second Class,2015,Qtr 2,2,Becky Castell
South,Technology,Second Class,2015,Qtr 2,2,Ben Ferrer
West,Technology,Second Class,2015,Qtr 2,7,Andy Reiter
Central,Technology,Second Class,2015,Qtr 3,6,David Smith
East,Technology,Second Class,2015,Qtr 3,10,Brad Eason
South,Technology,Second Class,2015,Qtr 3,2,Eudokia Martin
West,Technology,Second Class,2015,Qtr 3,4,Carlos Meador
Central,Technology,Second Class,2015,Qtr 4,15,Brian Moss
East,Technology,Second Class,2015,Qtr 4,15,Bryan Mills
South,Technology,Second Class,2015,Qtr 4,2,Rob Haberlin
West,Technology,Second Class,2015,Qtr 4,15,Andrew Gjertsen
Central,Technology,Second Class,2016,Qtr 1,2,Craig Carreira
East,Technology,Second Class,2016,Qtr 1,4,Deanra Eno
South,Technology,Second Class,2016,Qtr 1,4,Anthony Johnson
West,Technology,Second Class,2016,Qtr 1,4,Anna Chung
Central,Technology,Second Class,2016,Qtr 2,7,Alejandro Ballentine
East,Technology,Second Class,2016,Qtr 2,7,Becky Castell
South,Technology,Second Class,2016,Qtr 2,4,Ben Ferrer
West,Technology,Second Class,2016,Qtr 2,4,Anna Chung
Central,Technology,Second Class,2016,Qtr 3,12,Adrian Hane
East,Technology,Second Class,2016,Qtr 3,4,Giulietta Dortch
South,Technology,Second Class,2016,Qtr 3,2,Darrin Martin
West,Technology,Second Class,2016,Qtr 3,6,Barry Französisch
Central,Technology,Second Class,2016,Qtr 4,11,Denise Monton
East,Technology,Second Class,2016,Qtr 4,6,Carol Adams
South,Technology,Second Class,2016,Qtr 4,5,Allen Armold
West,Technology,Second Class,2016,Qtr 4,9,Anthony Rawles
Central,Technology,Second Class,2017,Qtr 1,1,Brad Norvell
East,Technology,Second Class,2017,Qtr 1,8,Brian Moss
South,Technology,Second Class,2017,Qtr 1,2,Lauren Leatherbury
West,Technology,Second Class,2017,Qtr 1,10,Benjamin Farhat
Central,Technology,Second Class,2017,Qtr 2,5,Helen Wasserman
East,Technology,Second Class,2017,Qtr 2,4,Chad McGuire
South,Technology,Second Class,2017,Qtr 2,5,Barry Französisch
West,Technology,Second Class,2017,Qtr 2,9,Becky Castell
Central,Technology,Second Class,2017,Qtr 3,7,Alex Russell
East,Technology,Second Class,2017,Qtr 3,10,Carl Ludwig
South,Technology,Second Class,2017,Qtr 3,6,Anna Gayman
West,Technology,Second Class,2017,Qtr 3,5,Anthony Rawles
Central,Technology,Second Class,2017,Qtr 4,8,Bart Pistole
East,Technology,Second Class,2017,Qtr 4,11,Alan Dominguez
South,Technology,Second Class,2017,Qtr 4,10,John Lee
West,Technology,Second Class,2017,Qtr 4,15,Alex Grayson
Central,Technology,Standard Class,2014,Qtr 1,2,Linda Cazamias
East,Technology,Standard Class,2014,Qtr 1,4,Anne Pryor
South,Technology,Standard Class,2014,Qtr 1,10,Eric Barreto
West,Technology,Standard Class,2014,Qtr 1,5,Christina Anderson
Central,Technology,Standard Class,2014,Qtr 2,8,Dorothy Dickinson
East,Technology,Standard Class,2014,Qtr 2,10,Andrew Roberts
South,Technology,Standard Class,2014,Qtr 2,11,Evan Henry
West,Technology,Standard Class,2014,Qtr 2,23,Arianne Irving
Central,Technology,Standard Class,2014,Qtr 3,12,Andy Gerbode
East,Technology,Standard Class,2014,Qtr 3,16,Christine Abelman
South,Technology,Standard Class,2014,Qtr 3,10,Andy Gerbode
West,Technology,Standard Class,2014,Qtr 3,26,Arthur Gainer
Central,Technology,Standard Class,2014,Qtr 4,23,Berenike Kampe
East,Technology,Standard Class,2014,Qtr 4,20,Carlos Soltero
South,Technology,Standard Class,2014,Qtr 4,7,Dave Hallsten
West,Technology,Standard Class,2014,Qtr 4,25,Alan Hwang
Central,Technology,Standard Class,2015,Qtr 1,10,Dana Kaydos
East,Technology,Standard Class,2015,Qtr 1,17,Cindy Schnelling
South,Technology,Standard Class,2015,Qtr 1,2,Liz MacKendrick
West,Technology,Standard Class,2015,Qtr 1,8,Anthony Johnson
Central,Technology,Standard Class,2015,Qtr 2,16,Anna Häberlin
East,Technology,Standard Class,2015,Qtr 2,12,Greg Tran
South,Technology,Standard Class,2015,Qtr 2,11,Brendan Dodson
West,Technology,Standard Class,2015,Qtr 2,18,Alan Barnes
Central,Technology,Standard Class,2015,Qtr 3,9,Ben Peterman
East,Technology,Standard Class,2015,Qtr 3,22,Andy Gerbode
South,Technology,Standard Class,2015,Qtr 3,13,Allen Rosenblatt
West,Technology,Standard Class,2015,Qtr 3,14,Cassandra Brandow
Central,Technology,Standard Class,2015,Qtr 4,21,Adrian Barton
East,Technology,Standard Class,2015,Qtr 4,25,Alejandro Ballentine
South,Technology,Standard Class,2015,Qtr 4,12,Anna Häberlin
West,Technology,Standard Class,2015,Qtr 4,27,Aaron Hawkins
Central,Technology,Standard Class,2016,Qtr 1,10,Alex Avila
East,Technology,Standard Class,2016,Qtr 1,19,Benjamin Venier
South,Technology,Standard Class,2016,Qtr 1,4,Dionis Lloyd
West,Technology,Standard Class,2016,Qtr 1,14,Annie Zypern
Central,Technology,Standard Class,2016,Qtr 2,12,Art Ferguson
East,Technology,Standard Class,2016,Qtr 2,17,Art Ferguson
South,Technology,Standard Class,2016,Qtr 2,8,Anna Häberlin
West,Technology,Standard Class,2016,Qtr 2,16,Barry Franz
Central,Technology,Standard Class,2016,Qtr 3,18,Alejandro Grove
East,Technology,Standard Class,2016,Qtr 3,19,Chad Cunningham
South,Technology,Standard Class,2016,Qtr 3,11,Anthony Johnson
West,Technology,Standard Class,2016,Qtr 3,22,Bill Donatelli
Central,Technology,Standard Class,2016,Qtr 4,27,Adam Hart
East,Technology,Standard Class,2016,Qtr 4,27,Alejandro Savely
South,Technology,Standard Class,2016,Qtr 4,15,Anna Häberlin
West,Technology,Standard Class,2016,Qtr 4,31,Alan Schoenberger
Central,Technology,Standard Class,2017,Qtr 1,17,Benjamin Venier
East,Technology,Standard Class,2017,Qtr 1,13,Craig Leslie
South,Technology,Standard Class,2017,Qtr 1,2,Bradley Drucker
West,Technology,Standard Class,2017,Qtr 1,25,Alan Dominguez
Central,Technology,Standard Class,2017,Qtr 2,9,Anne McFarland
East,Technology,Standard Class,2017,Qtr 2,17,Alejandro Ballentine
South,Technology,Standard Class,2017,Qtr 2,19,Bart Watters
West,Technology,Standard Class,2017,Qtr 2,20,Adam Bellavance
Central,Technology,Standard Class,2017,Qtr 3,23,Aaron Smayling
East,Technology,Standard Class,2017,Qtr 3,37,Aimee Bixby
South,Technology,Standard Class,2017,Qtr 3,14,Adrian Hane
West,Technology,Standard Class,2017,Qtr 3,36,Adrian Barton
Central,Technology,Standard Class,2017,Qtr 4,24,Alan Hwang
East,Technology,Standard Class,2017,Qtr 4,42,Allen Armold
South,Technology,Standard Class,2017,Qtr 4,24,Beth Fritzler
West,Technology,Standard Class,2017,Qtr 4,38,Adam Bellavance
Central,Technology,Standard Class,2018,Qtr 1,,
East,Technology,Standard Class,2018,Qtr 1,2,Jennifer Ferguson
South,Technology,Standard Class,2018,Qtr 1,,
West,Technology,Standard Class,2018,Qtr 1,1,James Galang
