Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Sub-Category,Orders.Country,Orders.Customer Name,Sum(Orders.Profit),CountNonNull(Orders.Row ID),Sum(Orders.Sales),Sum(Orders.Discount),Sum(Orders.Quantity)
Qtr 3,2015,Art,United States,Henry MacAllister,,,,,
Qtr 4,2015,Art,United States,Henry MacAllister,,,,,
Qtr 2,2016,Art,United States,Henry MacAllister,,,,,
Qtr 3,2016,Art,United States,Henry MacAllister,,,,,
Qtr 4,2016,Art,United States,Henry MacAllister,,,,,
Qtr 2,2017,Art,United States,Henry MacAllister,2.5148999999999964,2,22.744,0.4,9
Qtr 3,2017,Art,United States,Henry MacAllister,,,,,
Qtr 4,2017,Art,United States,Henry MacAllister,,,,,
Qtr 2,2014,Art,United States,Herbert Flentye,,,,,
Qtr 3,2014,Art,United States,Herbert Flentye,15.475200000000001,1,59.519999999999996,0,3
Qtr 4,2014,Art,United States,Herbert Flentye,,,,,
Qtr 2,2015,Art,United States,Herbert Flentye,,,,,
Qtr 3,2015,Art,United States,Herbert Flentye,,,,,
Qtr 4,2015,Art,United States,Herbert Flentye,,,,,
Qtr 2,2016,Art,United States,Herbert Flentye,,,,,
Qtr 3,2016,Art,United States,Herbert Flentye,,,,,
Qtr 4,2016,Art,United States,Herbert Flentye,,,,,
Qtr 2,2017,Art,United States,Herbert Flentye,,,,,
Qtr 3,2017,Art,United States,Herbert Flentye,,,,,
Qtr 4,2017,Art,United States,Herbert Flentye,,,,,
Qtr 2,2014,Art,United States,Hunter Glantz,,,,,
Qtr 3,2014,Art,United States,Hunter Glantz,,,,,
Qtr 4,2014,Art,United States,Hunter Glantz,,,,,
Qtr 2,2015,Art,United States,Hunter Glantz,,,,,
Qtr 3,2015,Art,United States,Hunter Glantz,,,,,
Qtr 4,2015,Art,United States,Hunter Glantz,,,,,
Qtr 2,2016,Art,United States,Hunter Glantz,,,,,
Qtr 3,2016,Art,United States,Hunter Glantz,,,,,
Qtr 4,2016,Art,United States,Hunter Glantz,,,,,
Qtr 2,2017,Art,United States,Hunter Glantz,,,,,
Qtr 3,2017,Art,United States,Hunter Glantz,,,,,
Qtr 4,2017,Art,United States,Hunter Glantz,9.680000000000001,1,22,0,10
Qtr 2,2014,Art,United States,Irene Maddox,,,,,
Qtr 3,2014,Art,United States,Irene Maddox,,,,,
Qtr 4,2014,Art,United States,Irene Maddox,,,,,
Qtr 2,2015,Art,United States,Irene Maddox,,,,,
Qtr 3,2015,Art,United States,Irene Maddox,,,,,
Qtr 4,2015,Art,United States,Irene Maddox,1.6232000000000004,2,17.344,0.4,8
Qtr 2,2016,Art,United States,Irene Maddox,,,,,
Qtr 3,2016,Art,United States,Irene Maddox,,,,,
Qtr 4,2016,Art,United States,Irene Maddox,,,,,
Qtr 2,2017,Art,United States,Irene Maddox,,,,,
Qtr 3,2017,Art,United States,Irene Maddox,,,,,
Qtr 4,2017,Art,United States,Irene Maddox,,,,,
Qtr 2,2014,Art,United States,Ivan Gibson,,,,,
Qtr 3,2014,Art,United States,Ivan Gibson,,,,,
Qtr 4,2014,Art,United States,Ivan Gibson,,,,,
Qtr 2,2015,Art,United States,Ivan Gibson,,,,,
Qtr 3,2015,Art,United States,Ivan Gibson,,,,,
Qtr 4,2015,Art,United States,Ivan Gibson,,,,,
Qtr 2,2016,Art,United States,Ivan Gibson,,,,,
Qtr 3,2016,Art,United States,Ivan Gibson,,,,,
Qtr 4,2016,Art,United States,Ivan Gibson,,,,,
Qtr 2,2017,Art,United States,Ivan Gibson,,,,,
Qtr 3,2017,Art,United States,Ivan Gibson,,,,,
Qtr 4,2017,Art,United States,Ivan Gibson,4.141599999999999,1,13.36,0,4
Qtr 2,2014,Art,United States,Ivan Liston,,,,,
Qtr 3,2014,Art,United States,Ivan Liston,,,,,
Qtr 4,2014,Art,United States,Ivan Liston,,,,,
Qtr 2,2015,Art,United States,Ivan Liston,,,,,
Qtr 3,2015,Art,United States,Ivan Liston,,,,,
Qtr 4,2015,Art,United States,Ivan Liston,,,,,
Qtr 2,2016,Art,United States,Ivan Liston,,,,,
Qtr 3,2016,Art,United States,Ivan Liston,8.044199999999995,2,66.28800000000001,0.4,4
Qtr 4,2016,Art,United States,Ivan Liston,,,,,
Qtr 2,2017,Art,United States,Ivan Liston,,,,,
Qtr 3,2017,Art,United States,Ivan Liston,,,,,
Qtr 4,2017,Art,United States,Ivan Liston,,,,,
Qtr 2,2014,Art,United States,Jack Garza,,,,,
Qtr 3,2014,Art,United States,Jack Garza,,,,,
Qtr 4,2014,Art,United States,Jack Garza,,,,,
Qtr 2,2015,Art,United States,Jack Garza,,,,,
Qtr 3,2015,Art,United States,Jack Garza,,,,,
Qtr 4,2015,Art,United States,Jack Garza,1.1679999999999997,1,9.344,0.2,2
Qtr 2,2016,Art,United States,Jack Garza,,,,,
Qtr 3,2016,Art,United States,Jack Garza,,,,,
Qtr 4,2016,Art,United States,Jack Garza,,,,,
Qtr 2,2017,Art,United States,Jack Garza,,,,,
Qtr 3,2017,Art,United States,Jack Garza,,,,,
Qtr 4,2017,Art,United States,Jack Garza,,,,,
Qtr 2,2014,Art,United States,Jack Lebron,,,,,
Qtr 3,2014,Art,United States,Jack Lebron,,,,,
Qtr 4,2014,Art,United States,Jack Lebron,,,,,
Qtr 2,2015,Art,United States,Jack Lebron,,,,,
Qtr 3,2015,Art,United States,Jack Lebron,,,,,
Qtr 4,2015,Art,United States,Jack Lebron,,,,,
Qtr 2,2016,Art,United States,Jack Lebron,,,,,
Qtr 3,2016,Art,United States,Jack Lebron,,,,,
Qtr 4,2016,Art,United States,Jack Lebron,,,,,
Qtr 2,2017,Art,United States,Jack Lebron,,,,,
Qtr 3,2017,Art,United States,Jack Lebron,,,,,
Qtr 4,2017,Art,United States,Jack Lebron,2.8909999999999982,1,23.128,0.2,7
Qtr 2,2014,Art,United States,Jack O'Briant,,,,,
Qtr 3,2014,Art,United States,Jack O'Briant,,,,,
Qtr 4,2014,Art,United States,Jack O'Briant,1.6355999999999997,1,5.64,0,3
Qtr 2,2015,Art,United States,Jack O'Briant,,,,,
Qtr 3,2015,Art,United States,Jack O'Briant,,,,,
Qtr 4,2015,Art,United States,Jack O'Briant,,,,,
Qtr 2,2016,Art,United States,Jack O'Briant,,,,,
Qtr 3,2016,Art,United States,Jack O'Briant,,,,,
Qtr 4,2016,Art,United States,Jack O'Briant,,,,,
Qtr 2,2017,Art,United States,Jack O'Briant,,,,,
Qtr 3,2017,Art,United States,Jack O'Briant,,,,,
Qtr 4,2017,Art,United States,Jack O'Briant,,,,,
Qtr 2,2014,Art,United States,James Galang,,,,,
Qtr 3,2014,Art,United States,James Galang,,,,,
Qtr 4,2014,Art,United States,James Galang,,,,,
Qtr 2,2015,Art,United States,James Galang,,,,,
Qtr 3,2015,Art,United States,James Galang,,,,,
Qtr 4,2015,Art,United States,James Galang,,,,,
Qtr 2,2016,Art,United States,James Galang,,,,,
Qtr 3,2016,Art,United States,James Galang,25.8117,2,87.09,0,8
Qtr 4,2016,Art,United States,James Galang,,,,,
Qtr 2,2017,Art,United States,James Galang,,,,,
Qtr 3,2017,Art,United States,James Galang,,,,,
Qtr 4,2017,Art,United States,James Galang,,,,,
Qtr 2,2014,Art,United States,Jamie Frazer,,,,,
Qtr 3,2014,Art,United States,Jamie Frazer,,,,,
Qtr 4,2014,Art,United States,Jamie Frazer,0.47519999999999984,1,4.224,0.2,3
Qtr 2,2015,Art,United States,Jamie Frazer,,,,,
Qtr 3,2015,Art,United States,Jamie Frazer,,,,,
Qtr 4,2015,Art,United States,Jamie Frazer,,,,,
Qtr 2,2016,Art,United States,Jamie Frazer,,,,,
Qtr 3,2016,Art,United States,Jamie Frazer,,,,,
Qtr 4,2016,Art,United States,Jamie Frazer,,,,,
Qtr 2,2017,Art,United States,Jamie Frazer,,,,,
Qtr 3,2017,Art,United States,Jamie Frazer,48.80640000000001,1,119.03999999999999,0,6
Qtr 4,2017,Art,United States,Jamie Frazer,,,,,
Qtr 2,2014,Art,United States,Jamie Kunitz,,,,,
Qtr 3,2014,Art,United States,Jamie Kunitz,,,,,
Qtr 4,2014,Art,United States,Jamie Kunitz,,,,,
Qtr 2,2015,Art,United States,Jamie Kunitz,,,,,
Qtr 3,2015,Art,United States,Jamie Kunitz,,,,,
Qtr 4,2015,Art,United States,Jamie Kunitz,,,,,
Qtr 2,2016,Art,United States,Jamie Kunitz,,,,,
Qtr 3,2016,Art,United States,Jamie Kunitz,,,,,
Qtr 4,2016,Art,United States,Jamie Kunitz,5.0336,1,30.976,0.2,8
Qtr 2,2017,Art,United States,Jamie Kunitz,,,,,
Qtr 3,2017,Art,United States,Jamie Kunitz,,,,,
Qtr 4,2017,Art,United States,Jamie Kunitz,6.566999999999998,1,19.9,0,5
Qtr 2,2014,Art,United States,Jane Waco,,,,,
Qtr 3,2014,Art,United States,Jane Waco,,,,,
Qtr 4,2014,Art,United States,Jane Waco,,,,,
Qtr 2,2015,Art,United States,Jane Waco,,,,,
Qtr 3,2015,Art,United States,Jane Waco,,,,,
Qtr 4,2015,Art,United States,Jane Waco,,,,,
Qtr 2,2016,Art,United States,Jane Waco,,,,,
Qtr 3,2016,Art,United States,Jane Waco,,,,,
Qtr 4,2016,Art,United States,Jane Waco,,,,,
Qtr 2,2017,Art,United States,Jane Waco,,,,,
Qtr 3,2017,Art,United States,Jane Waco,,,,,
Qtr 4,2017,Art,United States,Jane Waco,7.7728,1,38.864000000000004,0.2,7
Qtr 2,2014,Art,United States,Janet Lee,,,,,
Qtr 3,2014,Art,United States,Janet Lee,,,,,
Qtr 4,2014,Art,United States,Janet Lee,,,,,
Qtr 2,2015,Art,United States,Janet Lee,,,,,
Qtr 3,2015,Art,United States,Janet Lee,,,,,
Qtr 4,2015,Art,United States,Janet Lee,,,,,
Qtr 2,2016,Art,United States,Janet Lee,2.789999999999999,1,11.16,0,2
Qtr 3,2016,Art,United States,Janet Lee,,,,,
Qtr 4,2016,Art,United States,Janet Lee,,,,,
Qtr 2,2017,Art,United States,Janet Lee,,,,,
Qtr 3,2017,Art,United States,Janet Lee,,,,,
Qtr 4,2017,Art,United States,Janet Lee,,,,,
Qtr 2,2014,Art,United States,Janet Martin,,,,,
Qtr 3,2014,Art,United States,Janet Martin,,,,,
Qtr 4,2014,Art,United States,Janet Martin,,,,,
Qtr 2,2015,Art,United States,Janet Martin,,,,,
Qtr 3,2015,Art,United States,Janet Martin,,,,,
Qtr 4,2015,Art,United States,Janet Martin,,,,,
Qtr 2,2016,Art,United States,Janet Martin,,,,,
Qtr 3,2016,Art,United States,Janet Martin,,,,,
Qtr 4,2016,Art,United States,Janet Martin,,,,,
Qtr 2,2017,Art,United States,Janet Martin,,,,,
Qtr 3,2017,Art,United States,Janet Martin,,,,,
Qtr 4,2017,Art,United States,Janet Martin,1.0737999999999999,1,3.3040000000000003,0.2,1
Qtr 2,2014,Art,United States,Jas O'Carroll,,,,,
Qtr 3,2014,Art,United States,Jas O'Carroll,,,,,
Qtr 4,2014,Art,United States,Jas O'Carroll,,,,,
Qtr 2,2015,Art,United States,Jas O'Carroll,,,,,
Qtr 3,2015,Art,United States,Jas O'Carroll,,,,,
Qtr 4,2015,Art,United States,Jas O'Carroll,,,,,
Qtr 2,2016,Art,United States,Jas O'Carroll,22.7568,2,78.66,0,8
Qtr 3,2016,Art,United States,Jas O'Carroll,,,,,
Qtr 4,2016,Art,United States,Jas O'Carroll,,,,,
Qtr 2,2017,Art,United States,Jas O'Carroll,,,,,
Qtr 3,2017,Art,United States,Jas O'Carroll,,,,,
Qtr 4,2017,Art,United States,Jas O'Carroll,,,,,
Qtr 2,2014,Art,United States,Jason Fortune-,,,,,
Qtr 3,2014,Art,United States,Jason Fortune-,,,,,
Qtr 4,2014,Art,United States,Jason Fortune-,,,,,
Qtr 2,2015,Art,United States,Jason Fortune-,,,,,
Qtr 3,2015,Art,United States,Jason Fortune-,,,,,
Qtr 4,2015,Art,United States,Jason Fortune-,,,,,
Qtr 2,2016,Art,United States,Jason Fortune-,,,,,
Qtr 3,2016,Art,United States,Jason Fortune-,,,,,
Qtr 4,2016,Art,United States,Jason Fortune-,3.5039999999999996,1,11.68,0,2
Qtr 2,2017,Art,United States,Jason Fortune-,,,,,
Qtr 3,2017,Art,United States,Jason Fortune-,,,,,
Qtr 4,2017,Art,United States,Jason Fortune-,,,,,
Qtr 2,2014,Art,United States,Jason Gross,,,,,
Qtr 3,2014,Art,United States,Jason Gross,,,,,
Qtr 4,2014,Art,United States,Jason Gross,,,,,
Qtr 2,2015,Art,United States,Jason Gross,,,,,
Qtr 3,2015,Art,United States,Jason Gross,,,,,
Qtr 4,2015,Art,United States,Jason Gross,,,,,
Qtr 2,2016,Art,United States,Jason Gross,,,,,
Qtr 3,2016,Art,United States,Jason Gross,1.3992000000000013,1,18.656000000000002,0.2,2
Qtr 4,2016,Art,United States,Jason Gross,,,,,
Qtr 2,2017,Art,United States,Jason Gross,,,,,
Qtr 3,2017,Art,United States,Jason Gross,,,,,
Qtr 4,2017,Art,United States,Jason Gross,,,,,
Qtr 2,2014,Art,United States,Jasper Cacioppo,,,,,
Qtr 3,2014,Art,United States,Jasper Cacioppo,,,,,
Qtr 4,2014,Art,United States,Jasper Cacioppo,,,,,
Qtr 2,2015,Art,United States,Jasper Cacioppo,,,,,
Qtr 3,2015,Art,United States,Jasper Cacioppo,,,,,
Qtr 4,2015,Art,United States,Jasper Cacioppo,,,,,
Qtr 2,2016,Art,United States,Jasper Cacioppo,,,,,
Qtr 3,2016,Art,United States,Jasper Cacioppo,,,,,
Qtr 4,2016,Art,United States,Jasper Cacioppo,3.2471999999999994,1,9.84,0,3
Qtr 2,2017,Art,United States,Jasper Cacioppo,,,,,
Qtr 3,2017,Art,United States,Jasper Cacioppo,,,,,
Qtr 4,2017,Art,United States,Jasper Cacioppo,,,,,
Qtr 2,2014,Art,United States,Jay Kimmel,,,,,
Qtr 3,2014,Art,United States,Jay Kimmel,,,,,
Qtr 4,2014,Art,United States,Jay Kimmel,,,,,
Qtr 2,2015,Art,United States,Jay Kimmel,,,,,
Qtr 3,2015,Art,United States,Jay Kimmel,,,,,
Qtr 4,2015,Art,United States,Jay Kimmel,,,,,
Qtr 2,2016,Art,United States,Jay Kimmel,,,,,
Qtr 3,2016,Art,United States,Jay Kimmel,,,,,
Qtr 4,2016,Art,United States,Jay Kimmel,,,,,
Qtr 2,2017,Art,United States,Jay Kimmel,,,,,
Qtr 3,2017,Art,United States,Jay Kimmel,15.475200000000001,1,59.519999999999996,0,3
Qtr 4,2017,Art,United States,Jay Kimmel,,,,,
Qtr 2,2014,Art,United States,Jennifer Braxton,,,,,
Qtr 3,2014,Art,United States,Jennifer Braxton,,,,,
Qtr 4,2014,Art,United States,Jennifer Braxton,,,,,
Qtr 2,2015,Art,United States,Jennifer Braxton,,,,,
Qtr 3,2015,Art,United States,Jennifer Braxton,,,,,
Qtr 4,2015,Art,United States,Jennifer Braxton,,,,,
Qtr 2,2016,Art,United States,Jennifer Braxton,,,,,
Qtr 3,2016,Art,United States,Jennifer Braxton,2.6411999999999995,1,35.216,0.2,2
Qtr 4,2016,Art,United States,Jennifer Braxton,,,,,
Qtr 2,2017,Art,United States,Jennifer Braxton,,,,,
Qtr 3,2017,Art,United States,Jennifer Braxton,,,,,
Qtr 4,2017,Art,United States,Jennifer Braxton,,,,,
Qtr 2,2014,Art,United States,Jennifer Ferguson,,,,,
Qtr 3,2014,Art,United States,Jennifer Ferguson,,,,,
Qtr 4,2014,Art,United States,Jennifer Ferguson,,,,,
Qtr 2,2015,Art,United States,Jennifer Ferguson,6.436800000000002,1,23.84,0,8
Qtr 3,2015,Art,United States,Jennifer Ferguson,,,,,
Qtr 4,2015,Art,United States,Jennifer Ferguson,23.807999999999993,1,79.36,0,4
Qtr 2,2016,Art,United States,Jennifer Ferguson,,,,,
Qtr 3,2016,Art,United States,Jennifer Ferguson,,,,,
Qtr 4,2016,Art,United States,Jennifer Ferguson,,,,,
Qtr 2,2017,Art,United States,Jennifer Ferguson,,,,,
Qtr 3,2017,Art,United States,Jennifer Ferguson,,,,,
Qtr 4,2017,Art,United States,Jennifer Ferguson,,,,,
Qtr 2,2014,Art,United States,Jennifer Halladay,,,,,
Qtr 3,2014,Art,United States,Jennifer Halladay,,,,,
Qtr 4,2014,Art,United States,Jennifer Halladay,,,,,
Qtr 2,2015,Art,United States,Jennifer Halladay,,,,,
Qtr 3,2015,Art,United States,Jennifer Halladay,,,,,
Qtr 4,2015,Art,United States,Jennifer Halladay,,,,,
Qtr 2,2016,Art,United States,Jennifer Halladay,,,,,
Qtr 3,2016,Art,United States,Jennifer Halladay,,,,,
Qtr 4,2016,Art,United States,Jennifer Halladay,,,,,
Qtr 2,2017,Art,United States,Jennifer Halladay,,,,,
Qtr 3,2017,Art,United States,Jennifer Halladay,,,,,
Qtr 4,2017,Art,United States,Jennifer Halladay,4.491899999999996,2,52.696000000000005,0.4,10
Qtr 2,2014,Art,United States,Jennifer Patt,,,,,
Qtr 3,2014,Art,United States,Jennifer Patt,,,,,
Qtr 4,2014,Art,United States,Jennifer Patt,,,,,
Qtr 2,2015,Art,United States,Jennifer Patt,,,,,
Qtr 3,2015,Art,United States,Jennifer Patt,,,,,
Qtr 4,2015,Art,United States,Jennifer Patt,,,,,
Qtr 2,2016,Art,United States,Jennifer Patt,,,,,
Qtr 3,2016,Art,United States,Jennifer Patt,16.6548,2,50.63999999999999,0,11
Qtr 4,2016,Art,United States,Jennifer Patt,,,,,
Qtr 2,2017,Art,United States,Jennifer Patt,,,,,
Qtr 3,2017,Art,United States,Jennifer Patt,,,,,
Qtr 4,2017,Art,United States,Jennifer Patt,,,,,
Qtr 2,2014,Art,United States,Jeremy Ellison,,,,,
Qtr 3,2014,Art,United States,Jeremy Ellison,,,,,
Qtr 4,2014,Art,United States,Jeremy Ellison,,,,,
Qtr 2,2015,Art,United States,Jeremy Ellison,,,,,
Qtr 3,2015,Art,United States,Jeremy Ellison,,,,,
Qtr 4,2015,Art,United States,Jeremy Ellison,12.511800000000001,1,29.79,0,3
Qtr 2,2016,Art,United States,Jeremy Ellison,,,,,
Qtr 3,2016,Art,United States,Jeremy Ellison,,,,,
Qtr 4,2016,Art,United States,Jeremy Ellison,2.656799999999997,1,23.616,0.2,9
Qtr 2,2017,Art,United States,Jeremy Ellison,,,,,
Qtr 3,2017,Art,United States,Jeremy Ellison,,,,,
Qtr 4,2017,Art,United States,Jeremy Ellison,,,,,
Qtr 2,2014,Art,United States,Jeremy Lonsdale,,,,,
Qtr 3,2014,Art,United States,Jeremy Lonsdale,,,,,
Qtr 4,2014,Art,United States,Jeremy Lonsdale,,,,,
Qtr 2,2015,Art,United States,Jeremy Lonsdale,,,,,
Qtr 3,2015,Art,United States,Jeremy Lonsdale,,,,,
Qtr 4,2015,Art,United States,Jeremy Lonsdale,,,,,
Qtr 2,2016,Art,United States,Jeremy Lonsdale,6.9864,1,17.04,0,4
Qtr 3,2016,Art,United States,Jeremy Lonsdale,,,,,
Qtr 4,2016,Art,United States,Jeremy Lonsdale,,,,,
Qtr 2,2017,Art,United States,Jeremy Lonsdale,,,,,
Qtr 3,2017,Art,United States,Jeremy Lonsdale,,,,,
Qtr 4,2017,Art,United States,Jeremy Lonsdale,,,,,
Qtr 2,2014,Art,United States,Jessica Myrick,,,,,
Qtr 3,2014,Art,United States,Jessica Myrick,,,,,
Qtr 4,2014,Art,United States,Jessica Myrick,,,,,
Qtr 2,2015,Art,United States,Jessica Myrick,2.7845999999999997,1,10.709999999999999,0,3
Qtr 3,2015,Art,United States,Jessica Myrick,,,,,
Qtr 4,2015,Art,United States,Jessica Myrick,,,,,
Qtr 2,2016,Art,United States,Jessica Myrick,,,,,
Qtr 3,2016,Art,United States,Jessica Myrick,,,,,
Qtr 4,2016,Art,United States,Jessica Myrick,,,,,
Qtr 2,2017,Art,United States,Jessica Myrick,,,,,
Qtr 3,2017,Art,United States,Jessica Myrick,,,,,
Qtr 4,2017,Art,United States,Jessica Myrick,,,,,
Qtr 2,2014,Art,United States,Jesus Ocampo,,,,,
Qtr 3,2014,Art,United States,Jesus Ocampo,,,,,
Qtr 4,2014,Art,United States,Jesus Ocampo,,,,,
Qtr 2,2015,Art,United States,Jesus Ocampo,18.15759999999999,2,200.96800000000002,0.4,9
Qtr 3,2015,Art,United States,Jesus Ocampo,,,,,
Qtr 4,2015,Art,United States,Jesus Ocampo,,,,,
Qtr 2,2016,Art,United States,Jesus Ocampo,,,,,
Qtr 3,2016,Art,United States,Jesus Ocampo,,,,,
Qtr 4,2016,Art,United States,Jesus Ocampo,,,,,
Qtr 2,2017,Art,United States,Jesus Ocampo,,,,,
Qtr 3,2017,Art,United States,Jesus Ocampo,,,,,
Qtr 4,2017,Art,United States,Jesus Ocampo,,,,,
Qtr 2,2014,Art,United States,Jim Epp,,,,,
Qtr 3,2014,Art,United States,Jim Epp,,,,,
Qtr 4,2014,Art,United States,Jim Epp,,,,,
Qtr 2,2015,Art,United States,Jim Epp,7.595999999999989,1,60.768,0.2,2
Qtr 3,2015,Art,United States,Jim Epp,,,,,
Qtr 4,2015,Art,United States,Jim Epp,,,,,
Qtr 2,2016,Art,United States,Jim Epp,,,,,
Qtr 3,2016,Art,United States,Jim Epp,,,,,
Qtr 4,2016,Art,United States,Jim Epp,,,,,
Qtr 2,2017,Art,United States,Jim Epp,,,,,
Qtr 3,2017,Art,United States,Jim Epp,,,,,
Qtr 4,2017,Art,United States,Jim Epp,,,,,
Qtr 2,2014,Art,United States,Jim Karlsson,,,,,
Qtr 3,2014,Art,United States,Jim Karlsson,1.7419999999999987,1,10.72,0.2,2
Qtr 4,2014,Art,United States,Jim Karlsson,,,,,
Qtr 2,2015,Art,United States,Jim Karlsson,,,,,
Qtr 3,2015,Art,United States,Jim Karlsson,10.679999999999996,1,106.8,0.2,10
Qtr 4,2015,Art,United States,Jim Karlsson,,,,,
Qtr 2,2016,Art,United States,Jim Karlsson,,,,,
Qtr 3,2016,Art,United States,Jim Karlsson,,,,,
Qtr 4,2016,Art,United States,Jim Karlsson,,,,,
Qtr 2,2017,Art,United States,Jim Karlsson,,,,,
Qtr 3,2017,Art,United States,Jim Karlsson,,,,,
Qtr 4,2017,Art,United States,Jim Karlsson,,,,,
Qtr 2,2014,Art,United States,Jim Kriz,,,,,
Qtr 3,2014,Art,United States,Jim Kriz,,,,,
Qtr 4,2014,Art,United States,Jim Kriz,,,,,
Qtr 2,2015,Art,United States,Jim Kriz,,,,,
Qtr 3,2015,Art,United States,Jim Kriz,,,,,
Qtr 4,2015,Art,United States,Jim Kriz,1.4104,1,3.28,0,1
Qtr 2,2016,Art,United States,Jim Kriz,,,,,
Qtr 3,2016,Art,United States,Jim Kriz,,,,,
Qtr 4,2016,Art,United States,Jim Kriz,,,,,
Qtr 2,2017,Art,United States,Jim Kriz,,,,,
Qtr 3,2017,Art,United States,Jim Kriz,,,,,
Qtr 4,2017,Art,United States,Jim Kriz,,,,,
Qtr 2,2014,Art,United States,Jim Mitchum,,,,,
Qtr 3,2014,Art,United States,Jim Mitchum,,,,,
Qtr 4,2014,Art,United States,Jim Mitchum,,,,,
Qtr 2,2015,Art,United States,Jim Mitchum,,,,,
Qtr 3,2015,Art,United States,Jim Mitchum,,,,,
Qtr 4,2015,Art,United States,Jim Mitchum,,,,,
Qtr 2,2016,Art,United States,Jim Mitchum,,,,,
Qtr 3,2016,Art,United States,Jim Mitchum,,,,,
Qtr 4,2016,Art,United States,Jim Mitchum,,,,,
Qtr 2,2017,Art,United States,Jim Mitchum,,,,,
Qtr 3,2017,Art,United States,Jim Mitchum,,,,,
Qtr 4,2017,Art,United States,Jim Mitchum,1.0841999999999998,1,4.17,0,3
Qtr 2,2014,Art,United States,Jim Radford,,,,,
Qtr 3,2014,Art,United States,Jim Radford,,,,,
Qtr 4,2014,Art,United States,Jim Radford,,,,,
Qtr 2,2015,Art,United States,Jim Radford,,,,,
Qtr 3,2015,Art,United States,Jim Radford,,,,,
Qtr 4,2015,Art,United States,Jim Radford,1.5794999999999986,1,14.04,0.2,3
Qtr 2,2016,Art,United States,Jim Radford,,,,,
Qtr 3,2016,Art,United States,Jim Radford,,,,,
Qtr 4,2016,Art,United States,Jim Radford,,,,,
Qtr 2,2017,Art,United States,Jim Radford,,,,,
Qtr 3,2017,Art,United States,Jim Radford,,,,,
Qtr 4,2017,Art,United States,Jim Radford,,,,,
Qtr 2,2014,Art,United States,Jim Sink,,,,,
Qtr 3,2014,Art,United States,Jim Sink,,,,,
Qtr 4,2014,Art,United States,Jim Sink,,,,,
Qtr 2,2015,Art,United States,Jim Sink,,,,,
Qtr 3,2015,Art,United States,Jim Sink,,,,,
Qtr 4,2015,Art,United States,Jim Sink,,,,,
Qtr 2,2016,Art,United States,Jim Sink,,,,,
Qtr 3,2016,Art,United States,Jim Sink,6.632999999999998,1,20.1,0,3
Qtr 4,2016,Art,United States,Jim Sink,,,,,
Qtr 2,2017,Art,United States,Jim Sink,,,,,
Qtr 3,2017,Art,United States,Jim Sink,,,,,
Qtr 4,2017,Art,United States,Jim Sink,,,,,
Qtr 2,2014,Art,United States,Joe Elijah,,,,,
Qtr 3,2014,Art,United States,Joe Elijah,,,,,
Qtr 4,2014,Art,United States,Joe Elijah,,,,,
Qtr 2,2015,Art,United States,Joe Elijah,,,,,
Qtr 3,2015,Art,United States,Joe Elijah,,,,,
Qtr 4,2015,Art,United States,Joe Elijah,,,,,
Qtr 2,2016,Art,United States,Joe Elijah,,,,,
Qtr 3,2016,Art,United States,Joe Elijah,3.404799999999998,1,19.456000000000003,0.2,4
Qtr 4,2016,Art,United States,Joe Elijah,,,,,
Qtr 2,2017,Art,United States,Joe Elijah,,,,,
Qtr 3,2017,Art,United States,Joe Elijah,,,,,
Qtr 4,2017,Art,United States,Joe Elijah,9.929599999999997,1,34.24,0,8
Qtr 2,2014,Art,United States,Joe Kamberova,,,,,
Qtr 3,2014,Art,United States,Joe Kamberova,,,,,
Qtr 4,2014,Art,United States,Joe Kamberova,,,,,
Qtr 2,2015,Art,United States,Joe Kamberova,,,,,
Qtr 3,2015,Art,United States,Joe Kamberova,,,,,
Qtr 4,2015,Art,United States,Joe Kamberova,,,,,
Qtr 2,2016,Art,United States,Joe Kamberova,,,,,
Qtr 3,2016,Art,United States,Joe Kamberova,7.775999999999999,1,25.919999999999998,0,9
Qtr 4,2016,Art,United States,Joe Kamberova,,,,,
Qtr 2,2017,Art,United States,Joe Kamberova,,,,,
Qtr 3,2017,Art,United States,Joe Kamberova,,,,,
Qtr 4,2017,Art,United States,Joe Kamberova,,,,,
Qtr 2,2014,Art,United States,Joel Jenkins,,,,,
Qtr 3,2014,Art,United States,Joel Jenkins,,,,,
Qtr 4,2014,Art,United States,Joel Jenkins,,,,,
Qtr 2,2015,Art,United States,Joel Jenkins,,,,,
Qtr 3,2015,Art,United States,Joel Jenkins,,,,,
Qtr 4,2015,Art,United States,Joel Jenkins,12.936,1,46.2,0,4
Qtr 2,2016,Art,United States,Joel Jenkins,,,,,
Qtr 3,2016,Art,United States,Joel Jenkins,,,,,
Qtr 4,2016,Art,United States,Joel Jenkins,,,,,
Qtr 2,2017,Art,United States,Joel Jenkins,,,,,
Qtr 3,2017,Art,United States,Joel Jenkins,,,,,
Qtr 4,2017,Art,United States,Joel Jenkins,,,,,
Qtr 2,2014,Art,United States,John Dryer,,,,,
Qtr 3,2014,Art,United States,John Dryer,,,,,
Qtr 4,2014,Art,United States,John Dryer,,,,,
Qtr 2,2015,Art,United States,John Dryer,,,,,
Qtr 3,2015,Art,United States,John Dryer,,,,,
